date,y
2013-01-01,1.624345
2013-01-02,-0.936625
2013-01-03,-0.113438
2013-01-04,-0.625882
2013-01-05,0.821035
2013-01-06,-2.638265
2013-01-07,2.147889
2013-01-08,-1.351204
2013-01-09,0.050379
2013-01-10,0.034082
2013-01-11,1.145042
2013-01-12,-2.362339
2013-01-13,0.298624
2013-01-14,-0.386422
2013-01-15,0.561367
2013-01-16,-1.371583
2013-01-17,0.016728
2013-01-18,-0.930364
2013-01-19,-0.195594
2013-01-20,0.369537
2013-01-21,-1.556738
2013-01-22,1.334465
2013-01-23,0.491134
2013-01-24,0.081002
2013-01-25,1.256774
2013-01-26,-0.664767
2013-01-27,0.291407
2013-01-28,-0.625683
2013-01-29,-0.190874
2013-01-30,0.553920
2013-01-31,-1.021255
2013-02-01,-0.237859
2013-02-02,-0.630008
2013-02-03,-1.056003
2013-02-04,-0.720644
2013-02-05,-0.283558
2013-02-06,-1.602796
2013-02-07,0.136424
2013-02-08,1.197493
2013-02-09,-0.089701
2013-02-10,-0.142993
2013-02-11,-0.503070
2013-02-12,-0.586686
2013-02-13,1.714422
2013-02-14,-0.553745
2013-02-15,-0.540734
2013-02-16,0.731518
2013-02-17,1.841862
2013-02-18,-0.341648
2013-02-19,1.134819
2013-02-20,0.712720
2013-02-21,-0.246560
2013-02-22,-0.578510
2013-02-23,0.100066
2013-02-24,-0.283755
2013-02-25,0.467376
2013-02-26,0.683003
2013-02-27,0.756056
2013-02-28,0.358676
2013-03-01,1.191445
2013-03-02,-0.602244
2013-03-03,1.764855
2013-03-04,0.550540
2013-03-05,-0.224620
2013-03-06,1.195048
2013-03-07,0.017616
2013-03-08,1.327686
2013-03-09,1.675134
2013-03-10,2.167966
2013-03-11,-1.102040
2013-03-12,-0.199235
2013-03-13,0.338826
2013-03-14,-0.025200
2013-03-15,0.833633
2013-03-16,0.232756
2013-03-17,-1.934450
2013-03-18,0.403652
2013-03-19,0.643138
2013-03-20,-0.453588
2013-03-21,0.897347
2013-03-22,-0.258973
2013-03-23,-0.116564
2013-03-24,0.452542
2013-03-25,0.298333
2013-03-26,0.160657
2013-03-27,0.271014
2013-03-28,-0.557632
2013-03-29,0.625399
2013-03-30,0.040870
2013-03-31,1.054815
2013-04-01,1.161348
2013-04-02,0.164840
2013-04-03,0.134366
2013-04-04,-0.131336
2013-04-05,0.678305
2013-04-06,0.032165
2013-04-07,-0.267579
2013-04-08,0.329920
2013-04-09,-0.643954
2013-04-10,0.805347
2013-04-11,-0.605818
2013-04-12,1.265948
2013-04-13,0.283175
2013-04-14,0.572292
2013-04-15,-0.779337
2013-04-16,0.619333
2013-04-17,0.767495
2013-04-18,-1.209052
2013-04-19,0.238285
2013-04-20,0.124747
2013-04-21,-1.685486
2013-04-22,0.654981
2013-04-23,0.517438
2013-04-24,-1.436270
2013-04-25,0.764756
2013-04-26,-1.472994
2013-04-27,-0.070240
2013-04-28,-1.676360
2013-04-29,0.982567
2013-04-30,-0.185612
2013-05-01,-0.472243
2013-05-02,-0.557353
2013-05-03,1.300437
2013-05-04,1.461875
2013-05-05,-2.209043
2013-05-06,2.255160
2013-05-07,1.479071
2013-05-08,-0.214057
2013-05-09,-0.349715
2013-05-10,1.589064
2013-05-11,-0.415178
2013-05-12,-0.378264
2013-05-13,-0.693025
2013-05-14,0.650046
2013-05-15,0.440566
2013-05-16,-0.895214
2013-05-17,0.901241
2013-05-18,-1.257263
2013-05-19,0.931121
2013-05-20,-0.081959
2013-05-21,-0.399691
2013-05-22,0.177201
2013-05-23,0.812604
2013-05-24,0.486539
2013-05-25,0.568677
2013-05-26,0.376818
2013-05-27,0.333890
2013-05-28,0.874390
2013-05-29,0.314243
2013-05-30,0.919272
2013-05-31,-0.097790
2013-06-01,-2.073454
2013-06-02,1.818154
2013-06-03,1.613120
2013-06-04,-0.311823
2013-06-05,0.604323
2013-06-06,0.375606
2013-06-07,-0.013242
2013-06-08,0.308220
2013-06-09,-0.986386
2013-06-10,-0.221456
2013-06-11,-0.968856
2013-06-12,0.110814
2013-06-13,-0.620407
2013-06-14,0.253669
2013-06-15,-0.388737
2013-06-16,0.864484
2013-06-17,0.002435
2013-06-18,2.183159
2013-06-19,-2.075423
2013-06-20,0.151812
2013-06-21,1.350606
2013-06-22,1.800676
2013-06-23,-0.511400
2013-06-24,0.832436
2013-06-25,0.281751
2013-06-26,1.440594
2013-06-27,-0.236604
2013-06-28,1.115246
2013-06-29,-0.027441
2013-06-30,-1.027294
2013-07-01,0.921672
2013-07-02,0.287597
2013-07-03,1.047176
2013-07-04,-0.059676
2013-07-05,-0.294481
2013-07-06,1.020739
2013-07-07,0.097183
2013-07-08,0.333966
2013-07-09,0.201743
2013-07-10,1.298395
2013-07-11,0.291769
2013-07-12,2.143190
2013-07-13,1.201850
2013-07-14,0.962086
2013-07-15,-0.845618
2013-07-16,1.558961
2013-07-17,0.514985
2013-07-18,0.794472
2013-07-19,1.451289
2013-07-20,-0.255692
2013-07-21,1.447299
2013-07-22,-0.280529
2013-07-23,2.308269
2013-07-24,-1.309504
2013-07-25,-1.114558
2013-07-26,-0.803391
2013-07-27,-1.091441
2013-07-28,-1.456138
2013-07-29,1.686894
2013-07-30,-1.363294
2013-07-31,-1.480518
2013-08-01,1.602543
2013-08-02,-1.465676
2013-08-03,-1.331111
2013-08-04,1.301412
2013-08-05,-0.215173
2013-08-06,-0.782533
2013-08-07,1.807162
2013-08-08,-0.333503
2013-08-09,1.671541
2013-08-10,0.660258
2013-08-11,1.708267
2013-08-12,0.446102
2013-08-13,-0.668224
2013-08-14,3.350170
2013-08-15,-0.945382
