date,wait_times_hrs,nurse_count
2019-03-04 00:00:00,1.747261,1.0
2019-03-04 01:00:00,1.664634,1.0
2019-03-04 02:00:00,1.647047,1.0
2019-03-04 03:00:00,1.619512,1.0
2019-03-04 04:00:00,1.480415,1.0
2019-03-04 05:00:00,1.765025,3.0
2019-03-04 06:00:00,1.988708,3.0
2019-03-04 07:00:00,2.171090,3.0
2019-03-04 08:00:00,1.566778,7.0
2019-03-04 09:00:00,1.276717,9.0
2019-03-04 10:00:00,1.440389,9.0
2019-03-04 11:00:00,1.060019,9.0
2019-03-04 12:00:00,1.057999,11.0
2019-03-04 13:00:00,1.195520,11.0
2019-03-04 14:00:00,0.893994,11.0
2019-03-04 15:00:00,1.044169,11.0
2019-03-04 16:00:00,0.766978,11.0
2019-03-04 17:00:00,0.536624,11.0
2019-03-04 18:00:00,1.230117,11.0
2019-03-04 19:00:00,1.326316,11.0
2019-03-04 20:00:00,1.652856,9.0
2019-03-04 21:00:00,1.269224,9.0
2019-03-04 22:00:00,1.257421,7.0
2019-03-04 23:00:00,1.401627,7.0
2019-03-05 00:00:00,1.514232,5.0
2019-03-05 01:00:00,2.127436,5.0
2019-03-05 02:00:00,2.350328,3.0
2019-03-05 03:00:00,2.533426,3.0
2019-03-05 04:00:00,2.191820,3.0
2019-03-05 05:00:00,1.722519,5.0
2019-03-05 06:00:00,1.547038,5.0
2019-03-05 07:00:00,1.185568,5.0
2019-03-05 08:00:00,0.957590,7.0
2019-03-05 09:00:00,1.095106,7.0
2019-03-05 10:00:00,1.158443,7.0
2019-03-05 11:00:00,1.028798,7.0
2019-03-05 12:00:00,0.710492,7.0
2019-03-05 13:00:00,0.822290,9.0
2019-03-05 14:00:00,0.998883,9.0
2019-03-05 15:00:00,1.513861,9.0
2019-03-05 16:00:00,1.254190,9.0
2019-03-05 17:00:00,1.073191,9.0
2019-03-05 18:00:00,0.691047,9.0
2019-03-05 19:00:00,1.258217,5.0
2019-03-05 20:00:00,1.725573,5.0
2019-03-05 21:00:00,1.762544,5.0
2019-03-05 22:00:00,1.597322,5.0
2019-03-05 23:00:00,1.591365,5.0
2019-03-06 00:00:00,2.316602,1.0
2019-03-06 01:00:00,2.412687,1.0
2019-03-06 02:00:00,1.947140,1.0
2019-03-06 03:00:00,1.056742,3.0
2019-03-06 04:00:00,1.244520,3.0
2019-03-06 05:00:00,1.608200,5.0
2019-03-06 06:00:00,1.525759,5.0
2019-03-06 07:00:00,1.264684,5.0
2019-03-06 08:00:00,0.720892,9.0
2019-03-06 09:00:00,0.705251,11.0
2019-03-06 10:00:00,0.591823,11.0
2019-03-06 11:00:00,0.264420,11.0
2019-03-06 12:00:00,0.608121,11.0
2019-03-06 13:00:00,0.662575,11.0
2019-03-06 14:00:00,0.613459,11.0
2019-03-06 15:00:00,0.968399,11.0
2019-03-06 16:00:00,1.204830,11.0
2019-03-06 17:00:00,1.256926,11.0
2019-03-06 18:00:00,1.001680,11.0
2019-03-06 19:00:00,0.579822,11.0
2019-03-06 20:00:00,1.169969,9.0
2019-03-06 21:00:00,1.809511,9.0
2019-03-06 22:00:00,2.129909,7.0
2019-03-06 23:00:00,1.193305,7.0
2019-03-07 00:00:00,1.383206,5.0
2019-03-07 01:00:00,1.542760,5.0
2019-03-07 02:00:00,1.752857,5.0
2019-03-07 03:00:00,1.742792,5.0
2019-03-07 04:00:00,1.393385,5.0
2019-03-07 05:00:00,0.867395,7.0
2019-03-07 06:00:00,1.657287,5.0
2019-03-07 07:00:00,1.722337,5.0
2019-03-07 08:00:00,1.481998,7.0
2019-03-07 09:00:00,1.725393,7.0
2019-03-07 10:00:00,1.448157,7.0
2019-03-07 11:00:00,0.997668,7.0
2019-03-07 12:00:00,1.230769,5.0
2019-03-07 13:00:00,1.401970,7.0
2019-03-07 14:00:00,1.051185,7.0
2019-03-07 15:00:00,0.674891,7.0
2019-03-07 16:00:00,0.500442,7.0
2019-03-07 17:00:00,1.126781,7.0
2019-03-07 18:00:00,1.741310,7.0
2019-03-07 19:00:00,2.690557,3.0
2019-03-07 20:00:00,2.290092,3.0
2019-03-07 21:00:00,2.277316,3.0
2019-03-07 22:00:00,2.519419,3.0
2019-03-07 23:00:00,1.919419,5.0
2019-03-08 00:00:00,1.913367,3.0
2019-03-08 01:00:00,1.663299,3.0
2019-03-08 02:00:00,1.982376,3.0
2019-03-08 03:00:00,1.896861,3.0
2019-03-08 04:00:00,1.402597,3.0
2019-03-08 05:00:00,1.008396,5.0
2019-03-08 06:00:00,1.205382,5.0
2019-03-08 07:00:00,1.455211,5.0
2019-03-08 08:00:00,1.798065,7.0
