date,Y
2013-01-01,2141.496089
2013-01-02,1557.635622
2013-01-03,2715.080516
2013-01-04,1313.539985
2013-01-05, 777.621265
2013-01-06,2476.384340
2013-01-07,2640.643290
2013-01-08,2415.598164
2013-01-09,1843.889922
2013-01-10,1946.762266
2013-01-11,2190.809179
2013-01-12,2421.960209
2013-01-13,5287.333637
2013-01-14,4873.038639
2013-01-15,6134.558833
2013-01-16,4659.424503
2013-01-17,3983.967967
2013-01-18,5699.323847
2013-01-19,6003.289149
2013-01-20,5810.219458
2013-01-21,5422.541856
2013-01-22,5585.166299
2013-01-23,5849.125536
2013-01-24,6151.710459
2013-01-25,9203.417872
2013-01-26,8623.919674
2013-01-27,9859.846011
2013-01-28,8293.206948
2013-01-29,7491.616475
2013-01-30,9013.138257
2013-01-31,9285.117609
2013-02-01,9148.345404
2013-02-02,8582.135238
2013-02-03,8788.626135
2013-02-04,9045.221290
2013-02-05,9375.166521
2013-02-06,12368.813738
2013-02-07,11716.062380
2013-02-08,12989.067304
2013-02-09,11395.024548
2013-02-10,10676.028282
2013-02-11,12216.713865
2013-02-12,12579.404208
2013-02-13,12396.396637
2013-02-14,12041.168525
2013-02-15,12356.676562
2013-02-16,12554.118380
2013-02-17,12901.768430
2013-02-18,15781.613817
2013-02-19,15106.708625
2013-02-20,16339.119984
2013-02-21,14705.448303
2013-02-22,14039.556850
2013-02-23,15448.165120
2013-02-24,15628.401503
2013-02-25,15342.489880
2013-02-26,14863.154234
2013-02-27,15165.358819
2013-02-28,15369.004503
2013-03-01,15733.876826
2013-03-02,18507.246474
2013-03-03,17757.618472
2013-03-04,18980.291355
2013-03-05,17364.864778
2013-03-06,16977.887467
2013-03-07,18468.018665
2013-03-08,18756.461446
2013-03-09,18606.627473
2013-03-10,18228.265783
2013-03-11,18481.864904
2013-03-12,18543.559320
2013-03-13,18938.820298
2013-03-14,21818.722849
2013-03-15,21081.840376
2013-03-16,22313.730278
2013-03-17,20751.239550
2013-03-18,20316.205331
2013-03-19,21761.592932
2013-03-20,21861.829697
2013-03-21,21510.966658
2013-03-22,21102.290177
2013-03-23,21404.690731
2013-03-24,21528.016563
2013-03-25,22004.036589
2013-03-26,25033.352887
2013-03-27,24455.429607
2013-03-28,25831.448319
2013-03-29,24554.377921
2013-03-30,24371.797249
2013-03-31,25742.609607
2013-04-01,25772.623927
2013-04-02,25365.070466
2013-04-03,24976.206676
2013-04-04,25299.667056
2013-04-05,25521.258309
2013-04-06,26135.713698
2013-04-07,29183.634409
2013-04-08,28621.213623
2013-04-09,30025.354077
2013-04-10,28766.146268
